year,school_code,school_name,order_first_date,spreadsheet_first_date,total_circ,total_orders,total_revenue,dist_type
2017,COB,University of Colorado,2017-05-31,2017-05-30,6143.0,759.0,165441.0,1
2018,COB,University of Colorado,2018-06-03,2018-05-31,6378.0,872.0,195522.0,1
2019,COB,University of Colorado,,2019-05-31,7377.0,783.0,184785.0,1
2014,WMD,University of Wisconsin-Madison,,2014-05-05,5894.0,455.0,74593.0,
2015,WMD,University of Wisconsin-Madison,,2015-05-05,6681.0,381.0,63826.0,
2016,WMD,University of Wisconsin-Madison,2016-06-14,2016-06-13,5907.0,689.0,132200.0,1
2017,WMD,University of Wisconsin-Madison,2017-05-12,2017-05-10,5987.0,663.0,119412.0,1
2018,WMD,University of Wisconsin-Madison,2018-05-10,2018-05-07,7007.0,631.0,122849.0,1
2019,WMD,University of Wisconsin-Madison,,2019-05-03,7308.0,933.0,175189.0,1
2014,VAT,Virginia Tech,,2014-05-15,6451.0,1045.0,200432.0,
2015,VAT,Virginia Tech,,2015-04-23,7799.0,1057.0,197204.0,
2016,VAT,Virginia Tech,2016-04-28,2016-04-26,6072.0,902.0,180924.0,1
2017,VAT,Virginia Tech,2017-04-23,2017-04-20,6617.0,722.0,146954.0,1
2018,VAT,Virginia Tech,2018-05-05,2018-05-01,6537.0,768.0,163475.0,1
2019,VAT,Virginia Tech,,2019-04-26,5952.0,708.0,163444.0,7
2014,CSU,Colorado State University,,2014-05-02,5075.0,962.0,178535.0,
2015,CSU,Colorado State University,,2015-04-27,4250.0,902.0,163915.0,
2016,CSU,Colorado State University,2016-04-25,2016-04-25,4114.0,768.0,153646.0,7
2017,CSU,Colorado State University,2017-04-25,2017-04-24,3819.0,860.0,165336.0,7
2018,CSU,Colorado State University,2018-05-02,2018-05-02,3947.0,925.0,186879.0,7
2019,CSU,Colorado State University,,2019-04-12,3427.0,746.0,156108.0,7
2014,MAA,University of Massachusetts Amherst,,2014-06-05,5450.0,1053.0,196948.0,
2015,MAA,University of Massachusetts Amherst,,2015-05-22,5417.0,983.0,177501.0,
2016,MAA,University of Massachusetts Amherst,2016-05-25,2016-05-25,5273.0,603.0,122325.0,1
2017,MAA,University of Massachusetts Amherst,2017-05-11,2017-05-09,5244.0,575.0,122151.0,1
2018,MAA,University of Massachusetts Amherst,2018-05-30,2018-05-25,5943.0,465.0,97699.0,1
2019,MAA,University of Massachusetts Amherst,,2019-05-22,7239.0,746.0,154084.0,1
2014,UIL,University of Illinois at Urbana-Champaign,,2014-04-30,6888.0,1101.0,201887.0,
2015,UIL,University of Illinois at Urbana-Champaign,,2015-04-27,5910.0,929.0,161454.0,
2016,UIL,University of Illinois at Urbana-Champaign,2016-04-25,2016-04-21,5993.0,1083.0,204632.0,1
2017,UIL,University of Illinois at Urbana-Champaign,2017-05-28,2017-05-25,5562.0,930.0,167931.0,1
2018,UIL,University of Illinois at Urbana-Champaign,2018-05-05,2018-05-01,6360.0,925.0,177817.0,1
2019,UIL,University of Illinois at Urbana-Champaign,,2019-04-18,6563.0,785.0,153325.0,1
2014,ECU,East Carolina University,,2014-04-24,4220.0,794.0,144120.0,
2015,ECU,East Carolina University,,2015-04-23,4486.0,694.0,125566.0,
2016,ECU,East Carolina University,2016-04-24,2016-04-21,4451.0,686.0,136545.0,1
2017,ECU,East Carolina University,2017-04-24,2017-04-21,4567.0,811.0,162808.0,1
2018,ECU,East Carolina University,2018-05-07,2018-05-01,4270.0,654.0,125788.0,1
2019,ECU,East Carolina University,,2019-04-18,4339.0,728.0,151708.0,1
2014,NYU,New York University,,2014-06-02,5300.0,469.0,93996.0,
2015,NYU,New York University,,2015-05-28,4917.0,470.0,91534.0,
2016,NYU,New York University,2016-05-24,2016-05-19,4776.0,693.0,146842.0,2
2017,NYU,New York University,2017-06-03,2017-05-30,4715.0,653.0,142308.0,2
2018,NYU,New York University,2018-05-26,2018-06-13,5500.0,572.0,119641.0,2
2019,NYU,New York University,,2019-06-13,5500.0,646.0,147511.0,2
2014,GCU,Grand Canyon University,,2014-05-13,2800.0,716.0,132049.0,
2015,GCU,Grand Canyon University,,2015-05-28,3500.0,695.0,126585.0,
2016,GCU,Grand Canyon University,2016-06-08,2016-06-09,3500.0,629.0,134908.0,7
2017,GCU,Grand Canyon University,2017-05-20,2017-05-22,2972.0,502.0,99631.0,7
2018,GCU,Grand Canyon University,2018-05-16,2018-05-16,4330.0,754.0,164717.0,7
2019,GCU,Grand Canyon University,,2019-05-17,4500.0,637.0,147016.0,7
2014,TMP,The University of Tampa,,2014-05-23,1891.0,513.0,99615.0,
2015,TMP,The University of Tampa,,2015-06-08,1978.0,484.0,95699.0,
2016,TMP,The University of Tampa,2016-06-27,2016-06-27,1984.0,655.0,145505.0,1
2017,TMP,The University of Tampa,2017-06-20,2017-06-20,2181.0,546.0,124490.0,1
2018,TMP,The University of Tampa,2018-05-05,2018-05-01,2508.0,683.0,160265.0,1
2019,TMP,The University of Tampa,,2019-04-18,2465.0,580.0,143426.0,1
2014,UFL,University of Florida,,2014-04-09,8332.0,787.0,141913.0,
2015,UFL,University of Florida,,2015-04-22,11632.0,967.0,177412.0,
2016,UFL,University of Florida,2016-04-30,2016-04-21,9927.0,762.0,152996.0,1
2017,UFL,University of Florida,2017-04-23,2017-04-06,9730.0,736.0,146721.0,1
2018,UFL,University of Florida,2018-05-19,2018-05-14,5923.0,581.0,120579.0,1
2019,UFL,University of Florida,,2019-04-10,6893.0,646.0,140228.0,1
2014,UCD,"University of California, Davis",,2014-06-02,5200.0,877.0,152850.0,
2015,UCD,"University of California, Davis",,2015-06-18,4234.0,753.0,137386.0,
2016,UCD,"University of California, Davis",2016-05-25,2016-05-20,5081.0,757.0,141708.0,7
2017,UCD,"University of California, Davis",2017-05-27,2017-05-19,5000.0,784.0,144267.0,7
2018,UCD,"University of California, Davis",2018-05-19,2018-05-30,5669.0,577.0,108019.0,7
2019,UCD,"University of California, Davis",,2019-06-07,6400.0,777.0,139216.0,7
2014,IND,Indiana University,,2014-05-19,6218.0,865.0,156304.0,
2015,IND,Indiana University,,2015-05-22,7103.0,969.0,168330.0,
2016,IND,Indiana University,2016-05-28,2016-05-26,5844.0,721.0,142096.0,1
2017,IND,Indiana University,2017-06-03,2017-05-31,7100.0,574.0,107362.0,7
2018,IND,Indiana University,2018-06-03,2018-05-29,8000.0,568.0,114392.0,7
2019,IND,Indiana University,,2019-05-28,8000.0,659.0,135134.0,7
2014,UIA,University of Iowa,,2014-05-15,5000.0,620.0,108677.0,
2015,UIA,University of Iowa,,2015-05-28,5775.0,561.0,93291.0,
2016,UIA,University of Iowa,2016-06-18,2016-06-16,5940.0,691.0,128218.0,1
2017,UIA,University of Iowa,2017-06-17,2017-06-15,6257.0,754.0,129905.0,1
2018,UIA,University of Iowa,2018-05-27,2018-05-22,5301.0,616.0,121125.0,1
2019,UIA,University of Iowa,,2019-05-29,5559.0,698.0,133992.0,1
2014,TAM,Texas A&M University,,2014-04-09,7206.0,655.0,121729.0,
2015,TAM,Texas A&M University,,2015-05-07,8849.0,588.0,107688.0,
2016,TAM,Texas A&M University,2016-05-12,2016-04-25,7694.0,619.0,128376.0,1
2017,TAM,Texas A&M University,2017-04-23,2017-04-05,8283.0,555.0,113640.0,1
2018,TAM,Texas A&M University,2018-05-05,2018-03-23,9689.0,641.0,130993.0,1
2019,TAM,Texas A&M University,,2019-04-18,10898.0,631.0,133899.0,1
2014,UWA,University of Washington,,2014-06-23,3525.0,935.0,151939.0,
2015,UWA,University of Washington,,2015-06-17,3914.0,938.0,155923.0,
2016,UWA,University of Washington,2016-06-25,2016-06-23,3867.0,676.0,118317.0,1
2017,UWA,University of Washington,2017-07-08,2017-07-07,4527.0,756.0,115641.0,1
2018,UWA,University of Washington,,2018-07-31,4237.0,499.0,82660.0,1
2019,UWA,University of Washington,,2019-07-09,4879.0,762.0,133465.0,1
2014,UCL,"University of California, Los Angeles",,2014-05-05,8521.0,1038.0,183228.0,
2015,UCL,"University of California, Los Angeles",,2015-05-21,9988.0,1072.0,169409.0,
2016,UCL,"University of California, Los Angeles",2016-06-09,2016-06-08,9127.0,1057.0,175103.0,1
2017,UCL,"University of California, Los Angeles",2017-06-08,2017-06-07,8573.0,911.0,128851.0,1
2018,UCL,"University of California, Los Angeles",,2018-06-13,9848.0,907.0,145403.0,1
2019,UCL,"University of California, Los Angeles",,2019-06-27,10192.0,887.0,130232.0,1
2014,WSU,Washington State University,,2014-05-16,4100.0,475.0,84656.0,
2015,WSU,Washington State University,,2015-04-23,6350.0,577.0,103434.0,
2016,WSU,Washington State University,2016-06-01,2016-06-02,4000.0,430.0,90485.0,7
2017,WSU,Washington State University,2017-05-06,2017-05-05,3500.0,344.0,66011.0,7
2018,WSU,Washington State University,2018-05-17,2018-05-16,3500.0,476.0,96376.0,7
2019,WSU,Washington State University,,2019-04-26,4250.0,605.0,130013.0,7
2014,SYB,University at Buffalo,,2014-05-07,2947.0,498.0,103308.0,
2015,SYB,University at Buffalo,,2015-05-18,3085.0,612.0,113839.0,
2016,SYB,University at Buffalo,2016-04-23,2016-04-21,4971.0,597.0,112667.0,1
2017,SYB,University at Buffalo,2017-04-27,2017-04-25,3634.0,538.0,97640.0,1
2018,SYB,University at Buffalo,2018-05-05,2018-05-01,3500.0,625.0,125956.0,1
2019,SYB,University at Buffalo,,2019-04-18,3336.0,636.0,129640.0,1
2014,UPT,University of Pittsburgh,,2014-05-13,3799.0,874.0,160623.0,
2015,UPT,University of Pittsburgh,,2015-05-07,3941.0,793.0,145341.0,
2016,UPT,University of Pittsburgh,2016-05-04,2016-05-02,4466.0,605.0,112697.0,1
2017,UPT,University of Pittsburgh,2017-04-26,2017-04-24,3944.0,789.0,144988.0,1
2018,UPT,University of Pittsburgh,2018-05-05,2018-05-01,4728.0,725.0,137964.0,1
2019,UPT,University of Pittsburgh,,2019-04-22,3980.0,630.0,124258.0,1
2014,UMD,University of Maryland,,2014-05-14,4384.0,560.0,115776.0,
2015,UMD,University of Maryland,,2015-05-20,5034.0,505.0,102205.0,
2016,UMD,University of Maryland,2016-05-21,2016-05-20,5334.0,539.0,115395.0,1
2017,UMD,University of Maryland,2017-05-28,2017-05-26,5167.0,469.0,91811.0,1
2018,UMD,University of Maryland,2018-05-17,2018-05-14,5485.0,548.0,110463.0,1
2019,UMD,University of Maryland,,2019-05-14,5297.0,600.0,123102.0,1
2014,WVU,West Virginia University,,2014-04-24,4748.0,873.0,167821.0,
2015,WVU,West Virginia University,,2015-04-23,4192.0,794.0,143943.0,
2016,WVU,West Virginia University,2016-04-22,2016-04-21,5298.0,927.0,183741.0,1
2017,WVU,West Virginia University,2017-04-24,2017-04-21,5229.0,921.0,185404.0,1
2018,WVU,West Virginia University,2018-05-05,2018-05-01,4853.0,690.0,134318.0,1
2019,WVU,West Virginia University,,2019-04-18,4650.0,573.0,122474.0,1
2014,OHU,Ohio University,,2014-05-05,4814.0,725.0,137979.0,
2015,OHU,Ohio University,,2015-04-23,5066.0,843.0,152272.0,
2016,OHU,Ohio University,2016-04-28,2016-04-26,5839.0,765.0,145565.0,1
2017,OHU,Ohio University,2017-04-23,2017-04-20,5191.0,697.0,133518.0,1
2018,OHU,Ohio University,2018-04-27,2018-04-24,4294.0,554.0,110217.0,1
2019,OHU,Ohio University,,2019-04-18,4045.0,564.0,119866.0,1
2014,SCA,University of Southern California,,2014-06-11,2291.0,772.0,150615.0,
2015,SCA,University of Southern California,,2015-06-12,2381.0,685.0,128823.0,
2016,SCA,University of Southern California,2016-06-10,2016-06-08,2399.0,635.0,139552.0,1
2017,SCA,University of Southern California,2017-06-29,2017-06-28,2695.0,583.0,114798.0,1
2018,SCA,University of Southern California,,2018-07-05,2754.0,409.0,81088.0,1
2019,SCA,University of Southern California,,2019-06-19,3063.0,587.0,119852.0,1
2014,BGS,Bowling Green State University,,2014-04-24,3283.0,589.0,108428.0,
2015,BGS,Bowling Green State University,,2015-04-23,3201.0,557.0,95591.0,
2016,BGS,Bowling Green State University,2016-04-25,2016-04-21,4230.0,615.0,121906.0,1
2017,BGS,Bowling Green State University,2017-04-23,2017-04-20,3952.0,552.0,103294.0,1
2018,BGS,Bowling Green State University,2018-04-27,2018-04-24,4743.0,536.0,103441.0,1
2019,BGS,Bowling Green State University,,2019-04-18,4323.0,602.0,118511.0,1
2014,UCR,"University of California, Riverside",,2014-08-01,4351.0,337.0,53914.0,
2015,UCR,"University of California, Riverside",,2015-06-17,4318.0,430.0,72427.0,
2016,UCR,"University of California, Riverside",2016-06-22,2016-06-21,6465.0,487.0,92493.0,1
2017,UCR,"University of California, Riverside",2017-07-06,2017-07-05,6518.0,490.0,76552.0,1
2018,UCR,"University of California, Riverside",2018-05-07,2018-05-03,7762.0,579.0,103513.0,1
2019,UCR,"University of California, Riverside",,2019-05-16,7597.0,641.0,113925.0,1
2014,RUT,Rutgers University - New Brunswick Campus,,,0.0,31.0,5509.0,
2015,RUT,Rutgers University - New Brunswick Campus,,2015-05-20,4027.0,580.0,110469.0,
2016,RUT,Rutgers University - New Brunswick Campus,2016-05-26,2016-05-25,4558.0,675.0,131045.0,1
2017,RUT,Rutgers University - New Brunswick Campus,2017-05-17,2017-05-15,5488.0,573.0,104826.0,1
2018,RUT,Rutgers University - New Brunswick Campus,2018-05-13,2018-05-10,5530.0,712.0,131746.0,1
2019,RUT,Rutgers University - New Brunswick Campus,,2019-05-02,6719.0,597.0,113604.0,1
2014,BOU,Boston University,,2014-05-12,3789.0,618.0,133213.0,
2015,BOU,Boston University,,2015-05-26,3564.0,656.0,136760.0,
2016,BOU,Boston University,2016-05-18,2016-05-16,3950.0,653.0,146506.0,1
2017,BOU,Boston University,2017-05-21,2017-05-18,3612.0,646.0,137237.0,1
2018,BOU,Boston University,2018-05-24,2018-05-16,4638.0,657.0,138305.0,1
2019,BOU,Boston University,,2019-05-17,4370.0,508.0,113074.0,1
2014,VCU,Virginia Commonwealth University,,2014-06-17,5192.0,379.0,68399.0,
2015,VCU,Virginia Commonwealth University,,2015-06-09,5507.0,519.0,101910.0,
2016,VCU,Virginia Commonwealth University,2016-06-09,2016-06-08,5681.0,472.0,90877.0,1
2017,VCU,Virginia Commonwealth University,2017-06-17,2017-06-16,3111.0,447.0,78730.0,1
2018,VCU,Virginia Commonwealth University,,2018-06-18,3794.0,509.0,97613.0,1
2019,VCU,Virginia Commonwealth University,,2019-05-31,3828.0,571.0,110170.0,1
2014,ATX,University Residence Hall Association,,2014-04-28,5020.0,514.0,94253.0,
2015,ATX,University Residence Hall Association,,2015-04-23,4961.0,363.0,65428.0,
2016,ATX,University Residence Hall Association,2016-05-08,2016-05-04,5451.0,331.0,65279.0,1
2017,ATX,University Residence Hall Association,2017-05-05,2017-05-03,5203.0,502.0,92929.0,1
2018,ATX,University Residence Hall Association,2018-05-14,2018-05-08,5846.0,396.0,75501.0,1
2019,ATX,University Residence Hall Association,,2019-05-22,5808.0,539.0,104760.0,1
2014,IWU,Iowa State University,,2014-05-19,7500.0,881.0,142284.0,
2015,IWU,Iowa State University,,2015-05-15,9000.0,872.0,145270.0,
2016,IWU,Iowa State University,2016-05-23,2016-04-13,8400.0,522.0,97009.0,7
2017,IWU,Iowa State University,2017-05-14,2017-05-12,6978.0,685.0,123978.0,7
2018,IWU,Iowa State University,2018-05-16,2018-05-14,6996.0,576.0,111011.0,7
2019,IWU,Iowa State University,,2019-05-14,6950.0,511.0,102366.0,7
2014,BAY,Baylor University,,2014-06-09,3489.0,507.0,104238.0,
2015,BAY,Baylor University,,2015-05-08,3500.0,538.0,103049.0,
2016,BAY,Baylor University,2016-05-13,2016-05-13,3600.0,517.0,107947.0,7
2017,BAY,Baylor University,2017-04-28,2017-04-28,3600.0,526.0,109512.0,7
2018,BAY,Baylor University,2018-05-03,2018-05-01,3235.0,483.0,103575.0,7
2019,BAY,Baylor University,,2019-05-10,3300.0,479.0,101289.0,7
2014,LSU,Louisiana State University,,2014-05-09,4144.0,543.0,107463.0,
2015,LSU,Louisiana State University,,2015-05-08,5212.0,299.0,60798.0,
2016,LSU,Louisiana State University,2016-05-06,2016-05-04,4020.0,337.0,76531.0,1
2017,LSU,Louisiana State University,2017-05-14,2017-05-11,3302.0,242.0,48038.0,1
2018,LSU,Louisiana State University,2018-06-08,2018-06-04,4560.0,329.0,69969.0,1
2019,LSU,Louisiana State University,,2019-04-18,5206.0,448.0,101151.0,1
2014,UCN,University of Cincinnati,,2014-07-21,3518.0,307.0,46482.0,
2015,UCN,University of Cincinnati,,2015-06-01,3538.0,585.0,98255.0,
2016,UCN,University of Cincinnati,2016-05-27,2016-05-25,3924.0,493.0,92941.0,1
2017,UCN,University of Cincinnati,2017-06-08,2017-06-07,3922.0,718.0,123985.0,1
2018,UCN,University of Cincinnati,2018-06-10,2018-06-07,4876.0,634.0,119812.0,1
2019,UCN,University of Cincinnati,,2019-06-25,4725.0,527.0,100584.0,1
2014,APP,Appalachian State University,,2014-05-13,2378.0,406.0,73740.0,
2015,APP,Appalachian State University,,2015-04-23,2400.0,425.0,73908.0,
2016,APP,Appalachian State University,2016-04-25,2016-04-21,3158.0,386.0,77020.0,1
2017,APP,Appalachian State University,2017-04-29,2017-04-27,4448.0,485.0,91002.0,1
2018,APP,Appalachian State University,2018-04-30,2018-04-24,4760.0,616.0,121995.0,1
2019,APP,Appalachian State University,,2019-04-18,4705.0,494.0,98470.0,1
2014,GAT,Georgia Institute of Technology,,2014-05-06,2487.0,753.0,142776.0,
2015,GAT,Georgia Institute of Technology,,2015-05-22,2666.0,714.0,127963.0,
2016,GAT,Georgia Institute of Technology,2016-05-12,2016-05-10,2319.0,525.0,96838.0,1
2017,GAT,Georgia Institute of Technology,2017-06-17,2017-06-15,2665.0,456.0,82223.0,1
2018,GAT,Georgia Institute of Technology,2018-06-01,2018-05-29,3707.0,556.0,101205.0,1
2019,GAT,Georgia Institute of Technology,,2019-05-20,3488.0,502.0,96760.0,1
2014,CLU,Clemson University,,2014-04-24,3550.0,666.0,119311.0,
2015,CLU,Clemson University,,2015-04-23,3498.0,623.0,110540.0,
2016,CLU,Clemson University,2016-04-23,2016-04-21,3701.0,644.0,122367.0,1
2017,CLU,Clemson University,2017-05-25,2017-05-24,4164.0,574.0,108076.0,1
2018,CLU,Clemson University,2018-05-06,2018-05-03,4536.0,615.0,121257.0,1
2019,CLU,Clemson University,,2019-04-18,4485.0,558.0,95939.0,1
2014,URI,University of Rhode Island,,2014-05-23,3358.0,601.0,117372.0,
2015,URI,University of Rhode Island,,2015-06-01,3121.0,466.0,90716.0,
2016,URI,University of Rhode Island,2016-04-23,2016-04-21,3832.0,635.0,132344.0,1
2017,URI,University of Rhode Island,2017-04-23,2017-04-20,3374.0,596.0,117141.0,1
2018,URI,University of Rhode Island,2018-05-06,2018-05-01,3562.0,503.0,106477.0,1
2019,URI,University of Rhode Island,,2019-04-18,3844.0,425.0,95889.0,1
2014,BNG,Binghamton University,,2014-05-30,4402.0,598.0,116599.0,
2015,BNG,Binghamton University,,2015-06-08,3754.0,557.0,104726.0,
2016,BNG,Binghamton University,2016-04-29,2016-04-27,2049.0,455.0,91094.0,1
2017,BNG,Binghamton University,2017-06-19,2017-06-19,2334.0,399.0,76021.0,1
2018,BNG,Binghamton University,2018-05-28,2018-07-17,2401.0,201.0,40306.0,1
2019,BNG,Binghamton University,,2019-05-30,2924.0,469.0,93716.0,1
2014,ERU,Embry-Riddle Aeronautical University - FL,,2014-04-30,909.0,350.0,73956.0,
2015,ERU,Embry-Riddle Aeronautical University - FL,,2015-06-05,1320.0,414.0,82992.0,
2016,ERU,Embry-Riddle Aeronautical University - FL,2016-05-13,2016-05-11,1188.0,432.0,86758.0,1
2017,ERU,Embry-Riddle Aeronautical University - FL,2017-04-26,2017-04-24,1328.0,391.0,78564.0,1
2018,ERU,Embry-Riddle Aeronautical University - FL,2018-05-06,2018-05-01,1155.0,346.0,71920.0,1
2019,ERU,Embry-Riddle Aeronautical University - FL,,2019-04-18,1269.0,396.0,92622.0,1
2014,UPA,University of Pennsylvania,,,0.0,10.0,2013.0,
2015,UPA,University of Pennsylvania,,2015-06-23,2143.0,380.0,82479.0,
2016,UPA,University of Pennsylvania,2016-05-20,2016-05-17,2055.0,493.0,115455.0,7
2017,UPA,University of Pennsylvania,2017-06-07,2017-06-05,2216.0,425.0,96307.0,7
2018,UPA,University of Pennsylvania,2018-05-24,2018-05-18,2543.0,482.0,104992.0,7
2019,UPA,University of Pennsylvania,,2019-05-28,2980.0,419.0,92525.0,7
2014,NCT,The University of North Carolina at Charlotte,,2014-05-13,3431.0,558.0,102605.0,
2015,NCT,The University of North Carolina at Charlotte,,2015-05-21,2691.0,444.0,77807.0,
2016,NCT,The University of North Carolina at Charlotte,2016-05-18,2016-05-17,2587.0,371.0,74925.0,1
2017,NCT,The University of North Carolina at Charlotte,2017-05-28,2017-05-26,2666.0,326.0,62825.0,1
2018,NCT,The University of North Carolina at Charlotte,2018-05-05,2018-05-01,3170.0,462.0,89679.0,1
2019,NCT,The University of North Carolina at Charlotte,,2019-04-18,3272.0,447.0,91638.0,1
2014,BRN,Brown University,,2014-06-06,1394.0,483.0,96777.0,
2015,BRN,Brown University,,2015-05-22,1532.0,370.0,76384.0,
2016,BRN,Brown University,2016-06-03,2016-06-01,1452.0,335.0,73982.0,1
2017,BRN,Brown University,2017-05-12,2017-05-09,1380.0,284.0,60617.0,1
2018,BRN,Brown University,2018-05-14,2018-05-10,1818.0,315.0,71605.0,1
2019,BRN,Brown University,,2019-04-18,1822.0,411.0,91290.0,1
2014,TOU,Towson University,,2014-05-15,2185.0,476.0,88170.0,
2015,TOU,Towson University,,2015-06-08,2233.0,480.0,85741.0,
2016,TOU,Towson University,2016-05-23,2016-05-20,2193.0,503.0,97916.0,1
2017,TOU,Towson University,2017-06-01,2017-05-30,2622.0,474.0,86163.0,1
2018,TOU,Towson University,2018-05-11,2018-05-07,2475.0,411.0,86250.0,1
2019,TOU,Towson University,,2019-05-15,2530.0,421.0,87695.0,1
2014,CSL,"California State University, Long Beach",,2014-05-14,1565.0,282.0,49347.0,
2015,CSL,"California State University, Long Beach",,2015-04-23,1660.0,315.0,46333.0,
2016,CSL,"California State University, Long Beach",2016-05-02,2016-04-29,1811.0,301.0,54939.0,1
2017,CSL,"California State University, Long Beach",2017-04-24,2017-04-20,1999.0,277.0,48240.0,1
2018,CSL,"California State University, Long Beach",2018-05-17,2018-05-01,2730.0,297.0,58432.0,1
2019,CSL,"California State University, Long Beach",,2019-05-15,2877.0,457.0,85737.0,1
2014,YLU,Yale University,,2014-06-02,1305.0,439.0,86623.0,
2015,YLU,Yale University,,2015-06-02,1193.0,378.0,82021.0,
2016,YLU,Yale University,,2016-06-06,1306.0,331.0,73587.0,1
2017,YLU,Yale University,2017-06-08,2017-06-06,1463.0,291.0,62370.0,1
2018,YLU,Yale University,2018-06-11,2018-06-07,1551.0,400.0,79714.0,1
2019,YLU,Yale University,,2019-06-10,1591.0,392.0,84304.0,1
2014,NDS,North Dakota State University,,2014-04-24,3324.0,526.0,77058.0,
2015,NDS,North Dakota State University,,2015-04-23,3683.0,504.0,76505.0,
2016,NDS,North Dakota State University,2016-04-29,2016-04-26,3037.0,349.0,59540.0,1
2017,NDS,North Dakota State University,2017-04-28,2017-04-25,2792.0,394.0,74311.0,1
2018,NDS,North Dakota State University,2018-05-07,2018-05-01,2759.0,345.0,61969.0,1
2019,NDS,North Dakota State University,,2019-04-18,2832.0,452.0,82216.0,1
2014,JMU,James Madison University,,2014-05-12,4510.0,757.0,138137.0,
2015,JMU,James Madison University,,2015-05-06,4116.0,640.0,117219.0,
2016,JMU,James Madison University,2016-05-16,2016-05-16,4555.0,632.0,119788.0,1
2017,JMU,James Madison University,2017-05-09,2017-05-09,4680.0,728.0,140341.0,1
2018,JMU,James Madison University,2018-05-14,2018-05-10,4511.0,616.0,122300.0,1
2019,JMU,James Madison University,,2019-05-09,4700.0,394.0,82076.0,7
